lsoa_code,borough,major_category,minor_category,value,year,month,crime_occurred
E01000249,Barnet,Fraud or Forgery,Counted per Victim,0,2016,May,No
E01002869,Kensington and Chelsea,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,Apr,No
E01004084,Sutton,Burglary,Burglary in a Dwelling,0,2013,Apr,No
E01004089,Sutton,Violence Against the Person,Assault with Injury,1,2014,Aug,Yes
E01033734,Greenwich,Violence Against the Person,Other violence,0,2014,Sep,No
E01003643,Redbridge,Burglary,Burglary in a Dwelling,0,2016,Mar,No
E01003361,Merton,Theft and Handling,Handling Stolen Goods,0,2016,Nov,No
E01001445,Enfield,Criminal Damage,Criminal Damage To Motor Vehicle,2,2014,Aug,Yes
E01002696,Islington,Theft and Handling,Theft From Shops,14,2015,Mar,Yes
E01000711,Bromley,Violence Against the Person,Offensive Weapon,0,2014,Jul,No
E01002081,Haringey,Violence Against the Person,Offensive Weapon,0,2014,Mar,No
E01002372,Havering,Criminal Damage,Criminal Damage To Other Building,0,2015,Mar,No
E01002822,Kensington and Chelsea,Criminal Damage,Criminal Damage To Other Building,0,2015,Jul,No
E01003605,Newham,Criminal Damage,Criminal Damage To Dwelling,1,2016,Jul,Yes
E01003851,Richmond upon Thames,Violence Against the Person,Wounding/GBH,0,2016,Sep,No
E01000847,Camden,Robbery,Business Property,1,2013,Mar,Yes
E01001237,Ealing,Burglary,Burglary in Other Buildings,0,2013,Sep,No
E01001466,Enfield,Drugs,Other Drugs,0,2015,Oct,No
E01001044,Croydon,Violence Against the Person,Common Assault,1,2013,Oct,Yes
E01001534,Enfield,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,May,No
E01003456,Merton,Other Notifiable Offences,Other Notifiable,1,2014,Jan,Yes
E01004015,Southwark,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,Jul,No
E01003887,Richmond upon Thames,Violence Against the Person,Other violence,0,2014,Sep,No
E01000875,Camden,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,Mar,No
E01002191,Harrow,Violence Against the Person,Harassment,0,2013,Jun,No
E01000034,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,1,2014,Nov,Yes
E01000942,Camden,Drugs,Drug Trafficking,0,2016,Apr,No
E01001808,Hackney,Violence Against the Person,Offensive Weapon,0,2013,Dec,No
E01002966,Kingston upon Thames,Theft and Handling,Handling Stolen Goods,0,2013,Sep,No
E01003509,Newham,Drugs,Drug Trafficking,0,2016,Dec,No
E01002873,Kensington and Chelsea,Fraud or Forgery,Counted per Victim,0,2016,Sep,No
E01004260,Tower Hamlets,Violence Against the Person,Offensive Weapon,0,2016,Feb,No
E01000509,Brent,Violence Against the Person,Common Assault,2,2016,Sep,Yes
E01004512,Wandsworth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,May,No
E01001619,Greenwich,Theft and Handling,Theft From Motor Vehicle,0,2013,Aug,No
E01001144,Croydon,Theft and Handling,Other Theft Person,0,2015,Feb,No
E01004086,Sutton,Violence Against the Person,Offensive Weapon,0,2016,Dec,No
E01002247,Havering,Violence Against the Person,Assault with Injury,0,2016,Apr,No
E01003063,Lambeth,Drugs,Drug Trafficking,0,2014,Apr,No
E01002512,Hillingdon,Theft and Handling,Theft From Motor Vehicle,0,2015,Aug,No
E01002707,Islington,Burglary,Burglary in a Dwelling,0,2015,Apr,No
E01033727,Greenwich,Criminal Damage,Criminal Damage To Dwelling,0,2016,Oct,No
E01003300,Lewisham,Criminal Damage,Criminal Damage To Dwelling,2,2013,Sep,Yes
E01001116,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,Dec,No
E01002731,Islington,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,Nov,No
E01003136,Lambeth,Robbery,Business Property,0,2014,Dec,No
E01001442,Enfield,Criminal Damage,Other Criminal Damage,0,2016,Jul,No
E01001895,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Dwelling,0,2015,May,No
E01003002,Kingston upon Thames,Other Notifiable Offences,Other Notifiable,0,2014,Aug,No
E01002332,Havering,Theft and Handling,Theft/Taking Of Motor Vehicle,2,2015,Feb,Yes
E01001727,Hackney,Burglary,Burglary in Other Buildings,0,2013,Sep,No
E01001946,Hammersmith and Fulham,Robbery,Business Property,0,2016,Sep,No
E01002849,Kensington and Chelsea,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,Aug,No
E01000562,Brent,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,Sep,No
E01002129,Harrow,Violence Against the Person,Harassment,6,2015,Aug,Yes
E01000454,Bexley,Criminal Damage,Criminal Damage To Dwelling,0,2013,Jan,No
E01003330,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,Jan,Yes
E01002707,Islington,Drugs,Drug Trafficking,0,2013,Jan,No
E01003205,Lewisham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,Aug,No
E01000649,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,Jul,No
E01001833,Hackney,Theft and Handling,Theft From Shops,1,2016,Feb,Yes
E01002766,Islington,Violence Against the Person,Common Assault,1,2015,Oct,Yes
E01002890,Kensington and Chelsea,Violence Against the Person,Common Assault,0,2013,Jan,No
E01002387,Havering,Other Notifiable Offences,Other Notifiable,0,2014,Jul,No
E01003247,Lewisham,Other Notifiable Offences,Other Notifiable,1,2015,Sep,Yes
E01001014,Croydon,Burglary,Burglary in Other Buildings,4,2015,Dec,Yes
E01003895,Richmond upon Thames,Theft and Handling,Other Theft Person,0,2016,Aug,No
E01002210,Harrow,Theft and Handling,Theft From Motor Vehicle,0,2014,Oct,No
E01002626,Hounslow,Theft and Handling,Theft From Motor Vehicle,1,2015,Aug,Yes
E01004530,Wandsworth,Drugs,Other Drugs,0,2013,Jul,No
E01000316,Barnet,Theft and Handling,Other Theft Person,0,2014,Apr,No
E01002460,Hillingdon,Other Notifiable Offences,Other Notifiable,1,2015,Apr,Yes
E01001115,Croydon,Burglary,Burglary in Other Buildings,1,2015,Oct,Yes
E01001510,Enfield,Burglary,Burglary in Other Buildings,0,2013,Sep,No
E01004715,Westminster,Criminal Damage,Criminal Damage To Other Building,0,2013,Feb,No
E01000511,Brent,Robbery,Personal Property,1,2015,Jul,Yes
E01003846,Richmond upon Thames,Robbery,Personal Property,0,2016,Apr,No
E01000401,Bexley,Violence Against the Person,Wounding/GBH,2,2013,Dec,Yes
E01033583,Newham,Violence Against the Person,Wounding/GBH,2,2013,Jan,Yes
E01003155,Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,Jul,No
E01003954,Southwark,Theft and Handling,Theft From Motor Vehicle,0,2013,May,No
E01001897,Hammersmith and Fulham,Violence Against the Person,Assault with Injury,0,2016,Mar,No
E01001687,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,Mar,No
E01003804,Richmond upon Thames,Robbery,Business Property,0,2016,Jun,No
E01002762,Islington,Violence Against the Person,Other violence,0,2014,Dec,No
E01003910,Richmond upon Thames,Criminal Damage,Criminal Damage To Dwelling,0,2014,Mar,No
E01000292,Barnet,Burglary,Burglary in a Dwelling,0,2014,Feb,No
E01004093,Sutton,Other Notifiable Offences,Other Notifiable,0,2013,Jun,No
E01004153,Sutton,Other Notifiable Offences,Other Notifiable,0,2013,Apr,No
E01000731,Bromley,Robbery,Personal Property,0,2014,Jul,No
E01002434,Hillingdon,Criminal Damage,Other Criminal Damage,0,2014,Nov,No
E01002513,Hillingdon,Other Notifiable Offences,Other Notifiable,0,2013,Feb,No
E01000079,Barking and Dagenham,Violence Against the Person,Other violence,0,2013,Feb,No
E01002832,Kensington and Chelsea,Violence Against the Person,Common Assault,2,2016,Aug,Yes
E01001319,Ealing,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,Nov,No
E01002292,Havering,Other Notifiable Offences,Other Notifiable,2,2014,Aug,Yes
E01001018,Croydon,Criminal Damage,Criminal Damage To Dwelling,1,2015,Oct,Yes
E01001493,Enfield,Theft and Handling,Other Theft Person,0,2014,May,No
E01001814,Hackney,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,Nov,No
E01004551,Wandsworth,Violence Against the Person,Murder,0,2013,Oct,No
E01004150,Sutton,Criminal Damage,Criminal Damage To Dwelling,0,2016,Sep,No
E01000861,Camden,Other Notifiable Offences,Going Equipped,0,2016,Dec,No
E01000090,Barking and Dagenham,Violence Against the Person,Harassment,1,2013,Sep,Yes
E01003643,Redbridge,Theft and Handling,Other Theft,0,2013,Feb,No
E01002837,Kensington and Chelsea,Violence Against the Person,Other violence,0,2016,Oct,No
E01003939,Southwark,Violence Against the Person,Murder,0,2014,Apr,No
E01002266,Havering,Theft and Handling,Handling Stolen Goods,0,2016,Oct,No
E01000837,Bromley,Other Notifiable Offences,Going Equipped,0,2013,Oct,No
E01001273,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,Apr,No
E01001359,Ealing,Violence Against the Person,Offensive Weapon,0,2015,Oct,No
E01002775,Islington,Criminal Damage,Criminal Damage To Dwelling,0,2015,Jun,No
E01002660,Hounslow,Robbery,Personal Property,0,2014,Jun,No
E01001462,Enfield,Theft and Handling,Other Theft Person,0,2013,Oct,No
E01004160,Sutton,Theft and Handling,Handling Stolen Goods,0,2013,Mar,No
E01001130,Croydon,Criminal Damage,Criminal Damage To Dwelling,0,2014,Nov,No
E01003134,Lambeth,Theft and Handling,Handling Stolen Goods,0,2015,Mar,No
E01000638,Brent,Theft and Handling,Handling Stolen Goods,0,2014,Jul,No
E01000331,Bexley,Criminal Damage,Criminal Damage To Other Building,0,2016,Apr,No
E01004407,Waltham Forest,Robbery,Business Property,0,2016,May,No
E01004410,Waltham Forest,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,Mar,No
E01000059,Barking and Dagenham,Drugs,Possession Of Drugs,0,2014,Jul,No
E01001338,Ealing,Theft and Handling,Handling Stolen Goods,0,2015,Nov,No
E01000229,Barnet,Theft and Handling,Other Theft,0,2015,Feb,No
E01003193,Lewisham,Theft and Handling,Handling Stolen Goods,0,2016,May,No
E01001398,Enfield,Criminal Damage,Other Criminal Damage,0,2013,Sep,No
E01003328,Lewisham,Violence Against the Person,Offensive Weapon,0,2015,Apr,No
E01001454,Enfield,Theft and Handling,Other Theft,0,2014,Jun,No
E01000184,Barnet,Drugs,Possession Of Drugs,0,2016,Aug,No
E01004572,Wandsworth,Theft and Handling,Other Theft,0,2013,Sep,No
E01001965,Haringey,Robbery,Business Property,0,2014,Apr,No
E01003522,Newham,Burglary,Burglary in a Dwelling,1,2016,Jul,Yes
E01000922,Camden,Burglary,Burglary in Other Buildings,0,2015,Feb,No
E01001288,Ealing,Theft and Handling,Other Theft Person,0,2016,Jan,No
E01001168,Croydon,Violence Against the Person,Other violence,0,2015,May,No
E01003320,Lewisham,Other Notifiable Offences,Other Notifiable,1,2016,Dec,Yes
E01002311,Havering,Violence Against the Person,Assault with Injury,1,2014,Apr,Yes
E01002762,Islington,Theft and Handling,Other Theft Person,0,2014,Sep,No
E01000472,Brent,Fraud or Forgery,Other Fraud & Forgery,0,2014,Sep,No
E01003323,Lewisham,Drugs,Possession Of Drugs,1,2016,Oct,Yes
E01000221,Barnet,Drugs,Drug Trafficking,0,2015,Feb,No
E01003858,Richmond upon Thames,Theft and Handling,Other Theft,1,2013,Apr,Yes
E01002719,Islington,Theft and Handling,Theft From Motor Vehicle,0,2016,Sep,No
E01002951,Kingston upon Thames,Violence Against the Person,Assault with Injury,0,2016,Jul,No
E01002334,Havering,Drugs,Possession Of Drugs,0,2016,Jan,No
E01002243,Havering,Drugs,Possession Of Drugs,0,2015,Jul,No
E01002356,Havering,Criminal Damage,Other Criminal Damage,1,2016,Nov,Yes
E01000655,Bromley,Burglary,Burglary in a Dwelling,1,2013,Dec,Yes
E01004463,Waltham Forest,Fraud or Forgery,Other Fraud & Forgery,0,2014,Nov,No
E01001556,Enfield,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,May,No
E01000946,Camden,Theft and Handling,Theft/Taking of Pedal Cycle,1,2015,Dec,Yes
E01002216,Harrow,Drugs,Possession Of Drugs,0,2013,Sep,No
E01002244,Havering,Violence Against the Person,Harassment,0,2016,May,No
E01000157,Barnet,Violence Against the Person,Assault with Injury,0,2014,Nov,No
E01002891,Kensington and Chelsea,Burglary,Burglary in a Dwelling,0,2015,Oct,No
E01002097,Haringey,Robbery,Personal Property,0,2016,Jul,No
E01003628,Newham,Drugs,Drug Trafficking,0,2013,Sep,No
E01004208,Tower Hamlets,Other Notifiable Offences,Going Equipped,0,2013,Apr,No
E01001391,Enfield,Theft and Handling,Theft From Motor Vehicle,1,2016,Jul,Yes
E01003770,Redbridge,Theft and Handling,Theft From Shops,0,2015,Jun,No
E01003603,Newham,Burglary,Burglary in Other Buildings,0,2013,Oct,No
E01001214,Ealing,Violence Against the Person,Wounding/GBH,0,2014,Sep,No
E01000528,Brent,Drugs,Possession Of Drugs,1,2014,Dec,Yes
E01002206,Harrow,Theft and Handling,Theft From Shops,0,2015,Feb,No
E01001567,Enfield,Other Notifiable Offences,Other Notifiable,0,2015,Feb,No
E01003355,Merton,Violence Against the Person,Wounding/GBH,1,2013,Mar,Yes
E01003382,Merton,Other Notifiable Offences,Other Notifiable,0,2015,Dec,No
E01000783,Bromley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,Jan,No
E01003547,Newham,Violence Against the Person,Offensive Weapon,0,2015,May,No
E01000752,Bromley,Violence Against the Person,Common Assault,0,2016,Apr,No
E01003670,Redbridge,Theft and Handling,Theft From Motor Vehicle,0,2013,Jul,No
E01002581,Hounslow,Violence Against the Person,Harassment,0,2015,Jul,No
E01003950,Southwark,Robbery,Personal Property,0,2015,May,No
E01000491,Brent,Burglary,Burglary in Other Buildings,2,2015,Jan,Yes
E01003419,Merton,Violence Against the Person,Harassment,0,2013,Nov,No
E01000282,Barnet,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,Aug,No
E01002863,Kensington and Chelsea,Violence Against the Person,Wounding/GBH,0,2014,Jan,No
E01000926,Camden,Other Notifiable Offences,Going Equipped,0,2014,Jan,No
E01001440,Enfield,Theft and Handling,Handling Stolen Goods,0,2016,May,No
E01001650,Greenwich,Violence Against the Person,Assault with Injury,0,2015,Jun,No
E01004057,Southwark,Criminal Damage,Other Criminal Damage,0,2016,Jan,No
E01000126,Barnet,Criminal Damage,Other Criminal Damage,0,2014,Feb,No
E01002145,Harrow,Criminal Damage,Criminal Damage To Dwelling,0,2013,Mar,No
E01003125,Lambeth,Violence Against the Person,Offensive Weapon,0,2014,Dec,No
E01002496,Hillingdon,Other Notifiable Offences,Other Notifiable,0,2015,Mar,No
E01004087,Sutton,Criminal Damage,Other Criminal Damage,0,2015,Dec,No
E01003266,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,3,2013,Jul,Yes
E01001573,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2016,Feb,No
E01003082,Lambeth,Violence Against the Person,Common Assault,0,2015,Jun,No
E01001720,Hackney,Violence Against the Person,Harassment,0,2013,Sep,No
E01004066,Southwark,Criminal Damage,Other Criminal Damage,1,2013,Feb,Yes
E01033148,Enfield,Theft and Handling,Theft From Motor Vehicle,1,2013,Nov,Yes
E01002922,Kingston upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,0,2014,Jul,No
E01001191,Croydon,Other Notifiable Offences,Other Notifiable,0,2014,Jan,No
E01000981,Croydon,Violence Against the Person,Offensive Weapon,0,2016,Apr,No
E01002595,Hounslow,Violence Against the Person,Common Assault,0,2015,Nov,No
E01004305,Tower Hamlets,Violence Against the Person,Common Assault,4,2015,May,Yes
E01003891,Richmond upon Thames,Violence Against the Person,Offensive Weapon,0,2015,Aug,No
E01001176,Croydon,Violence Against the Person,Other violence,0,2015,Aug,No
E01003362,Merton,Burglary,Burglary in Other Buildings,0,2014,Apr,No
E01001924,Hammersmith and Fulham,Burglary,Burglary in Other Buildings,0,2016,Dec,No
E01000759,Bromley,Criminal Damage,Other Criminal Damage,0,2015,Dec,No
E01000032,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,0,2013,Nov,No
E01001659,Greenwich,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2014,Dec,Yes
E01002513,Hillingdon,Violence Against the Person,Harassment,0,2013,May,No
E01000051,Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycle,1,2014,Apr,Yes
E01003407,Merton,Theft and Handling,Other Theft,4,2015,May,Yes
E01004746,Westminster,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,Jun,No
E01004080,Sutton,Violence Against the Person,Harassment,0,2015,May,No
E01001056,Croydon,Violence Against the Person,Wounding/GBH,0,2016,Mar,No
E01001636,Greenwich,Violence Against the Person,Offensive Weapon,0,2016,Jun,No
E01001922,Hammersmith and Fulham,Theft and Handling,Other Theft Person,0,2013,Aug,No
E01001769,Hackney,Fraud or Forgery,Counted per Victim,0,2014,Sep,No
E01004695,Westminster,Violence Against the Person,Offensive Weapon,0,2016,Jun,No
E01003210,Lewisham,Robbery,Business Property,0,2013,Jun,No
E01004499,Wandsworth,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,Jul,Yes
E01003661,Redbridge,Drugs,Other Drugs,0,2015,Mar,No
E01000420,Bexley,Burglary,Burglary in a Dwelling,1,2013,Mar,Yes
E01000546,Brent,Other Notifiable Offences,Going Equipped,0,2016,Jul,No
E01001125,Croydon,Burglary,Burglary in Other Buildings,0,2016,Aug,No
E01000334,Bexley,Burglary,Burglary in a Dwelling,0,2013,Jun,No
E01000230,Barnet,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,Dec,No
E01004318,Tower Hamlets,Theft and Handling,Theft From Motor Vehicle,1,2015,Jan,Yes
E01004319,Tower Hamlets,Other Notifiable Offences,Going Equipped,0,2014,Jul,No
E01002879,Kensington and Chelsea,Robbery,Business Property,0,2016,Mar,No
E01004582,Wandsworth,Fraud or Forgery,Other Fraud & Forgery,0,2015,May,No
E01001167,Croydon,Violence Against the Person,Harassment,2,2015,May,Yes
E01002159,Harrow,Drugs,Drug Trafficking,0,2013,Jan,No
E01000565,Brent,Violence Against the Person,Assault with Injury,0,2014,Feb,No
E01002132,Harrow,Burglary,Burglary in a Dwelling,0,2014,Mar,No
E01001632,Greenwich,Robbery,Personal Property,1,2014,Jun,Yes
E01001207,Ealing,Theft and Handling,Theft From Motor Vehicle,2,2015,May,Yes
E01003030,Lambeth,Criminal Damage,Criminal Damage To Dwelling,0,2015,Jul,No
E01004314,Tower Hamlets,Violence Against the Person,Offensive Weapon,0,2013,Aug,No
E01032583,Southwark,Violence Against the Person,Common Assault,1,2015,May,Yes
E01001255,Ealing,Criminal Damage,Other Criminal Damage,1,2013,Feb,Yes
E01000840,Bromley,Violence Against the Person,Assault with Injury,0,2014,Oct,No
E01002309,Havering,Violence Against the Person,Common Assault,1,2014,Oct,Yes
E01004737,Westminster,Violence Against the Person,Other violence,0,2014,Apr,No
E01000350,Bexley,Burglary,Burglary in a Dwelling,1,2015,Feb,Yes
E01002407,Hillingdon,Drugs,Possession Of Drugs,2,2016,Nov,Yes
E01001340,Ealing,Violence Against the Person,Offensive Weapon,0,2015,Apr,No
E01001981,Haringey,Sexual Offences,Rape,0,2015,Dec,No
E01033151,Enfield,Criminal Damage,Criminal Damage To Dwelling,1,2015,Apr,Yes
E01003697,Redbridge,Drugs,Drug Trafficking,0,2016,Aug,No
E01003554,Newham,Drugs,Possession Of Drugs,0,2015,Aug,No
E01002961,Kingston upon Thames,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,Mar,No
E01002978,Kingston upon Thames,Violence Against the Person,Other violence,0,2014,Mar,No
E01003248,Lewisham,Violence Against the Person,Other violence,1,2015,Jun,Yes
E01000268,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,Oct,No
E01001858,Hammersmith and Fulham,Violence Against the Person,Common Assault,0,2013,Dec,No
E01002550,Hillingdon,Robbery,Business Property,0,2014,Dec,No
E01001068,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,Nov,No
E01002286,Havering,Theft and Handling,Handling Stolen Goods,0,2015,Apr,No
E01001800,Hackney,Drugs,Possession Of Drugs,1,2015,Dec,Yes
E01003671,Redbridge,Theft and Handling,Other Theft Person,0,2013,Sep,No
E01001942,Hammersmith and Fulham,Theft and Handling,Other Theft,2,2013,Feb,Yes
E01000534,Brent,Criminal Damage,Other Criminal Damage,0,2014,Dec,No
E01002074,Haringey,Sexual Offences,Other Sexual,0,2015,Jan,No
E01002066,Haringey,Theft and Handling,Other Theft,3,2016,Sep,Yes
E01002551,Hillingdon,Violence Against the Person,Other violence,0,2015,Jan,No
E01001020,Croydon,Theft and Handling,Theft From Motor Vehicle,0,2015,Jan,No
E01001091,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,Jul,No
E01001558,Enfield,Burglary,Burglary in Other Buildings,1,2013,Oct,Yes
E01002178,Harrow,Theft and Handling,Theft From Shops,0,2014,Jun,No
E01003366,Merton,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,Jul,Yes
E01032742,Havering,Other Notifiable Offences,Other Notifiable,1,2014,Apr,Yes
E01001492,Enfield,Drugs,Drug Trafficking,0,2015,Apr,No
E01003053,Lambeth,Burglary,Burglary in Other Buildings,0,2016,Jun,No
